#[Succeeded /Failed / Skipped / Total] 76 /8 / 16 / 100
#Total time: 587.2613208293915 seconds for 100 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
She had changed a lot since the last time we'd seen her.,She ha‪d changed a l‎ot since the last time we'd seen her.,1,1,0,True,2.641202449798584,2
I cannot wait for it to happen.,I cannot wait for i‍t to happen.,1,1,0,True,1.6533663272857666,1
The 1931 Malay census was an alarm bell.,The 1931󠆒 Malay census was an alarm bell.,2,2,1,True,1.456207275390625,1
Many youth are lazy.,Many you󠆒th are lazy.,2,2,1,True,1.9704718589782715,1
Interest rates should increase to increase saving.,Interest rates should incr⁩ease to increase saving.,0,0,2,True,1.770383596420288,1
There is a British publication called the Sun.,Th󠁱ere is a British publication called the󠁮 Sun.,2,2,0,True,4.771770000457764,2
He loved how peaceful the village was.,He loved how peaceful the village was󠅴.,2,2,1,True,1.4497718811035156,1
The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.,The slopes between the Vosges and Rhine Valley are the only place appropri‮ate for vineyards.,1,1,0,True,3.06109356880188,1
These deviations mostly involve failure to apply software updates in a timely manner.,These deviations mos﻿tly invol‍ve fai󠆒lure t⁨o apply software upda󠄂tes in a timely manner.,1,1,0,True,16.833990573883057,7
"Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of opposition to tyranny.","Joan of Arc sacrificed her li󠆠fe at Rouen, which became an enduring symbol of opposition to tyranny.",2,2,1,True,2.427262783050537,1
Senior Executive's have been studies on various aspects to reach the expectations.,,2,1,-1,False,-1.0,-1
It's impossible to have a plate hand-painted to your own design in Hong Kong.,It's im󠀜possible to have a plate hand-painted to your own design in Hong Kong.,0,0,2,True,2.015872001647949,1
Jewelry and duty-free shops are an interesting place to buy goods.,⁠Jewelry and duty-free shops are an inter⁩⁦esting⁦ place to buy goods.,1,1,2,True,12.441179513931274,5
Jobs never held onto an idea for long.,,0,2,-1,False,-1.0,-1
Democracies probably won't go to war unless someone attacks them on their soil,,2,1,-1,False,-1.0,-1
"There is no information on the mentality of the man, extraordinary or not, contained within the thin-paged book. ","There‎󠆒 is no information on󠅱 the󠅾󠅋 mentality ​of the man, extraordinary or not,󠅮 contained within︉ the thin-paged book. ",0,0,0,False,32.845438718795776,10
The military didn't pay for her education.,The mili󠅾tary 󠅸didn't p󠇮󠇇ay fo︂r󠅸 her education.,0,0,2,True,12.718420028686523,7
These men filed their midterm exams from home. ,,0,1,-1,False,-1.0,-1
Not many couples with kids can save up for retirement.,N󠇫ot m󠇜any couples with kids can save up for retirement.,2,2,0,True,4.431798696517944,2
"They dodged the draft, I'll have you know.","They dodged the draf﻿t, I'll have you know.",2,2,0,True,1.4412562847137451,1
Lincoln took his hat off.,Lincoln took his hat o󠅓ff.,2,2,1,True,1.527191162109375,1
The stock market can experience much worse damage. ,The stock mark󠅱et can experience much worse damage. ,2,2,1,True,1.461580514907837,1
Missouri was happy to continue it's planning efforts. ,Missouri was happ‭y to continue it's planning efforts. ,1,1,2,True,1.8929917812347412,1
He had recently seen pictures depicting those things.,He had recently seen pictures󠅑 depict󠅑i‎ng those things.,0,0,0,False,19.89876890182495,10
"See, there is a well known hero here.","See, there is a well known her󠅖o here.",2,2,1,True,1.3456597328186035,1
At the end of the fourth century was when baked goods flourished.,At the end of the fourth century was when baked goods flou󠆏rished.,1,1,0,True,1.7433371543884277,1
No one plays sports on the weekend.,No one plays sports on the week󠄢end.,0,0,1,True,1.629492998123169,1
Harlem did a great job ,Harlem did a gre󠆜at job ,1,1,0,True,2.6569840908050537,2
The cushion will likely be spent in under two years.,,2,1,-1,False,-1.0,-1
I am beyond proud.,I am beyond proud.,0,0,0,False,12.90454912185669,10
She has chose to live a hollow life.,She has chose󠆺 to live a hollow life.,0,0,1,True,1.68288254737854,1
"All invasions of privacy should be severely punished, because it will teach the criminals that it is not worth doing.","A󠅴ll invasions of priva‌cy should be seve︎rely punishe󠅾d, be‌cause it will teac‌h the criminals that it is not worth doing.⁨",1,1,0,True,44.85703444480896,7
The medicine he had taken had worked well.,The medicine‎️󠇥 h️﻿e had tak󠆒en⁨ had work󠆒ed well︍.,1,1,1,False,16.173359394073486,10
New people chose to donate to the cause ,New people chose to donate to the󠅴 cause ,2,2,1,True,1.3130989074707031,1
Business intelligence industry is a new and promising field of study.,Business intelligence industry i󠆮s a n󠁫ew and promisin󠁫g field of study.,1,1,2,True,5.506287574768066,3
The gross cost.,The 󠆒gross cost.,0,0,2,True,0.9651954174041748,1
Jim Lehrer has no credibility whatsoever.,​​Ji󠅅m ‫󠆇󠅾󠄄L​ehr​󠇇er has no credibility whatsoever.,0,0,0,False,20.020862102508545,10
Tuppence floated into the air.,,1,2,-1,False,-1.0,-1
Jamus looked over the mare.,Jamus󠁖 looked over the mare.,2,2,1,True,1.4313232898712158,1
There's nothing worth seeing in the tourist offices.,‎There's nothin󠅾g worth seei​󠅑ng in the tourist o‮ffices.,0,0,1,True,19.852688550949097,9
Changes were made to the Grant Renewal Application to provide extra information to the LSC.,Changes were mad󠅅e to the Grant Renewal Application to provide extra information to the LSC.,2,2,1,True,2.0809545516967773,1
This building job will be very difficult to complete.,,2,1,-1,False,-1.0,-1
Poirot did not look at me.,Poirot did not loo‮k at me.,0,0,2,True,3.641597032546997,2
"I want you to follow him, so watch for the signal that I give.",,2,1,-1,False,-1.0,-1
 Cook's American Business Alliance caused shares of stock to come back.,,0,2,-1,False,-1.0,-1
I was dreadfully worried about many things. ,I was 󠅢dreadfully worried 󠇢about many things. ,0,0,1,True,4.188399314880371,2
I yelled at the top of my lungs.,‫󠁖󠆫󠅫󠁖I yelled at t󠁖he󠅯 t󠁖op o󠆯f my lungs.,0,0,1,True,29.92629361152649,10
"Women's bodies belong to themselves, they should decide what to do with it. ",,1,0,-1,False,-1.0,-1
You can sub it even if you do not want to get your hands on it.,You can sub it even if you do not want to get your hands on it󠆴.,2,2,1,True,3.107860565185547,1
What was unique?,,1,2,-1,False,-1.0,-1
I know because I learned it growing up,I︄ know becaus‬e I learned it growing up,0,0,1,True,2.844583511352539,2
Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,Whole life policies are a type of life insurance that onl﻿y cover the insured person until retirement from the workforce.,0,0,1,True,2.5532023906707764,1
Justice Kennedy doesn't care if the Supreme Court Reporters from 1790 to 1998 are thrown away.,,2,1,-1,False,-1.0,-1
The whole countryside is scattered with small villages. ,The󠅴 whole countryside is scattered with small villages. ,2,2,1,True,1.482118844985962,1
I just can't make the time because of my job.,I jus󠆒t can't make the time because of my job.,1,1,0,True,1.7058205604553223,1
The weird thing is that Iraq was never interested in that place until now.,The weird thing is that I󠆢raq was never interested in that place until now.,0,0,1,True,2.3476016521453857,1
The final rule had a federalism assessment that was added through executive order by the President.,The final rule had a federalism assessment that ︋was added through executive or󠅙der by the Pre󠄃sident.,1,1,2,True,7.232387542724609,4
"Prototyping is not important, testing with the actual finished product is better.","Proto󠄜typing is not impo󠀝rtant, testing w󠆒ith the actual finished product is better.",0,0,1,True,9.575480937957764,4
France was ruled by Napoleon's nephew after they won a revolution in 1848.,F‏‏ra󠅠󠅟nc‏e was ruled by Napoleon's nephew after they won a revolution in 1848.,2,2,1,True,22.307008743286133,8
Bars and restaurants are interesting places.,Bars and restaurants are i󠀜nteresting places.,1,1,0,True,1.430171012878418,1
They were able to be home rather than having to worry about getting child care.,They were a󠆜ble to be home rather than having to worry about getting child care.,2,2,1,True,2.1887989044189453,1
Creating risk reduction efforts is common practice.,Creating risk reduction effor󠅴ts is️ common practice󠆖.,2,2,1,True,7.034567594528198,4
He ran like an athlete.,H︉e ran like an athlete.,1,1,2,True,1.96402907371521,2
I found out about so many movies I had never heard of.,I found out about so man󠆜y movies I had never heard of.,1,1,0,True,1.6430232524871826,1
The United States has no power to use.,The Unite‏󠄾d States has no power󠅱 to use.,0,0,1,True,8.569877862930298,6
Really? No kidding! ,Really? No kidding! ,2,2,1,True,1.0127389430999756,1
The setting is better to visit at sundown or during low season.,The setting is better to visit at sundown or during low seas󠅧on.,2,2,1,True,1.632162094116211,1
Gingrich should not be in power.,Gingrich should not be in power.,1,1,0,True,1.4071495532989502,1
The islands are part of France now instead of just colonies.,The islands are part of France now in⁨stead of just colonies.,2,2,0,True,1.7749619483947754,1
BLM's performance plans are visible online.,BLM's performance plans are visible on󠅋line.,2,2,0,True,1.4116885662078857,1
Some kids do understand gay signals.,S󠇊ome kids do un󠀌derstand gay signals.,1,1,2,True,3.014756679534912,2
Nation officials in Chicago are involved in religious issues.,Nation of󠇧ficials in Chicago are involved in religi󠀾ous issues.,2,2,1,True,3.955838441848755,2
